Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Density,"\rho = \frac{m}{V}","\rho = Density; m = Mass; V = Volume"
FORMULA,Specific Volume,"v = \frac{V}{m} = \frac{1}{\rho}","v = Specific Volume; V = Volume; m = Mass; \rho = Density"
FORMULA,Unit Weight,"\gamma = \frac{W}{V} = \frac{mg}{V} = \rho g","\gamma = Unit Weight; W = Weight; V = Volume; m = Mass; g = Acceleration due to gravity; \rho = Density"
FORMULA,Specific Gravity,"G = \frac{\rho_{fluid}}{\rho_{water}} = \frac{\gamma_{fluid}}{\gamma_{water}}","\rho_{fluid} = Density of the fluid; \rho_{water} = Density of water; \gamma_{fluid} = Unit weight of the fluid; \gamma_{water} = Unit weight of water"
FORMULA,Viscosity,"\mu = \frac{\tau}{\frac{dv}{dy}}","\mu = Viscosity; \tau = Shear stress; dv = Change in velocity; dy = Change in distance perpendicular to the flow"
FORMULA,Kinematic Viscosity,"\nu = \frac{\mu}{\rho}","\nu = Kinematic Viscosity; \mu = Viscosity; \rho = Density"
FORMULA,Reynolds Number,"Re = \frac{D \cdot \rho \cdot v}{\mu} = \frac{D \cdot v}{\nu}","\Re = Reynolds Number; D = Characteristic length (e.g., diameter); \rho = Density; v = Velocity; \mu = Viscosity; \nu = Kinematic Viscosity"
FORMULA,Surface Tension,"\sigma = \frac{F}{L}","\sigma = Surface Tension; F = Force; L = Length over which the force acts"
FORMULA,Capillary Rise,"h = \frac{2 \sigma \cos \theta}{\gamma r}","h = Capillary Rise; \sigma = Surface Tension; \theta = Contact angle; \gamma = Unit weight of the fluid; r = Radius of the capillary tube"
FORMULA,Compressibility,"\beta = -\frac{\frac{dV}{V}}{dP}","\beta = Compressibility; dV = Change in volume; V = Original volume; dP = Change in pressure"
FORMULA,Bulk Modulus,"E_b = -\frac{\delta P}{\frac{\delta V}{V}} = \frac{1}{\beta}","E_b = Bulk Modulus; \delta P = Change in pressure; \delta V = Change in volume; V = Original volume; \beta = Compressibility"
FORMULA,Pressure,"P = \frac{F}{A}","P = Pressure; F = Force; A = Area"
FORMULA,Hydrostatic Force,"F = \gamma \bar{h} A","\F = Hydrostatic Force; \gamma = Unit weight of the fluid; \bar{h} = Depth of the center of pressure; A = Area of the submerged surface"
FORMULA,Eccentricity,"e = \frac{I_g \cdot \gamma \cdot \cos \theta}{F}","e = Eccentricity; I_g = Second moment of area about the centroidal axis; \gamma = Unit weight of the fluid; \theta = Angle of inclination; F = Hydrostatic Force"
FORMULA,Factor of Safety (Overturning),"FS_o = \frac{RM}{OM}","FS_o = Factor of safety; RM = Resisting moment; OM = Overturning moment"
FORMULA,Factor of Safety (Sliding),"FS_s = \frac{\mu \cdot R_y}{R_x}","FS_s = Factor of safety; \mu = Coefficient of friction; R_y = Resisting Force; R_x Sliding Force"
FORMULA,Location of Force(\bar{x}),"\bar{x} = \frac{RM - OM}{R_y}"
FORMULA,Base Pressure(e < B/6),"P_{max} = \frac{R_y}{B} \left( 1 + \frac{6e}{B} \right)","P_{max} = Maximum base pressure; R_y = Total load; e = Eccentricity; B = Width of the base"
