Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Quadratic Formula,"x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}","x = Solutions to the quadratic equation; a, b, c = Coefficients of the quadratic equation ax^2 + bx + c = 0"
FORMULA,Sum of the roots of a quadratic equation,"x_1 + x_2 = -\frac{b}{a}","x_1, x_2 = Roots of the quadratic equation; a, b = Coefficients of the quadratic equation ax^2 + bx + c = 0"
FORMULA,Product of the roots of a quadratic equation,"x_1 \cdot x_2 = \frac{c}{a}","x_1, x_2 = Roots of the quadratic equation; a, c = Coefficients of the quadratic equation ax^2 + bx + c = 0"
FORMULA,Binomial Expansion($$y^r term$$),"nCr \cdot a^{n-r} \cdot b^r","n = Total number of terms; r = Term number; a, b = Variables in the binomial expansion"
FORMULA,Arithmetic Progression,"a_n = a_1 + (n-1)d","a_n = nth term; a_1 = first term; n = term number; d = common difference"
FORMULA,Sum of Arithmetic Series,"S_n = \frac{n}{2} \cdot (2a_1 + (n-1)d)","S_n = sum of the first n terms; a_1 = first term; n = number of terms; d = common difference"
FORMULA,Arithmetic Mean,"AM = \frac{a_1 +...+a_n}{N}","a_1 = first term;a_n = nth term;N = number of terms"
FORMULA,Geometric Progression,"a_n = a_1 \cdot r^{n-1}","a_n = nth term; a_1 = first term; n = term number; r = common ratio"
FORMULA,Sum of Geometric Series(r < 1),"S_n = a_1 \cdot \frac{1-r^n}{1-r}","S_n = sum of the first n terms; a_1 = first term; n = number of terms; r = common ratio"
FORMULA,Sum of Geometric Series(r > 1),"S_n = a_1 \cdot \frac{r^n - 1}{r-1}","S_n = sum of the first n terms; a_1 = first term; n = number of terms; r = common ratio"
FORMULA,Sum of Infinite Geometric Series(r < 1),"S = \frac{a_1}{1-r}","S = sum of the infinite series; a_1 = first term; r = common ratio"
FORMULA,Geometric Mean,"GM = \sqrt{a \cdot b}","GM = geometric mean;a = term a;b = term b"
FORMULA,Harmonic Progression,"H_n = \frac{n}{\frac{1}{a_1} + \frac{1}{a_2} + ... + \frac{1}{a_n}}","H_n = nth term; a_1, a_2, ..., a_n = terms of the harmonic progression"
FORMULA,Harmonic Progression,"GM^2 = AM \cdot HM","GM = geometric mean;AM = arithmetic mean;HM = Harmonic mean"
