Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Plane Area by integration(vertical strip),"A = \int_a^b y dx","A = area under the curve; y = function of x; a, b = limits of integration"
FORMULA,Plane Area by integration(horizontal strip),"A = \int_a^b x dy","A = area under the curve; x = function of y; a, b = limits of integration"
FORMULA,Plane Area by integration(2 curves),"A = \int_a^b y_{upper} - y_{lower} dx","A = area between the two curves; y_{upper}, y_{lower} = functions of x; a, b = limits of integration"
FORMULA,Plane Area by integration(Polar coordinates),"A = \frac{1}{2} \int_a^b r^2 d\theta","A = area under the curve; r = function of \theta; a, b = limits of integration"
FORMULA,Length of arc by integration,"L = \int_a^b \sqrt{1 + \left( \frac{dy}{dx} \right)^2} dx","L = length of the arc; y = function of x; a, b = limits of integration"
FORMULA,Length of arc by integration(Polar coordinates),"L = \int_a^b \sqrt{r^2 + \left( \frac{dr}{d\theta} \right)^2} d\theta","L = length of the arc; r = function of \theta; a, b = limits of integration"
FORMULA,Volume of solid of revolution(circular disk),"V = \pi \int_a^b R^2 dx","V = volume of the solid; R = function of x representing the radius of the disk; a, b = limits of integration"
FORMULA,Volume of solid of revolution(cylindrical shell),"V = 2 \pi \int_a^b r h dx","V = volume of the solid; r = function of x representing the radius of the shell; h = function of x representing the height of the shell; a, b = limits of integration"
FORMULA,Volume of solid of revolution(circular ring),"V = \pi \int_a^b (R^2 - r^2) dx","V = volume of the solid; R = function of x representing the outer radius; r = function of x representing the inner radius; a, b = limits of integration"
FORMULA,Work,"W = \int_a^b F(x) dx","W = work done; F(x) = force as a function of position; a, b = limits of integration representing the initial and final positions"
FORMULA,Centroid($$\bar{x}$$),"\bar{x} = \frac{\int_a^b x dA}{A} ","\bar{x} = x-coordinate of the centroid; dA = area under the curve; f(x) = function representing the curve; a b = limits of integration"
FORMULA,Centroid($$\bar{y}$$),"\bar{y} = \frac{\int_a^b y dA}{A} ","\bar{y} = y-coordinate of the centroid; dA = area under the curve; f(x) = function representing the curve; a b = limits of integration"
FORMULA,Moments of inertia,"I_x = \int_a^b y^2 dA; I_y = \int_a^b x^2 dA","I_x = moment of inertia about the x-axis; I_y = moment of inertia about the y-axis; dA = area under the curve; f(x) = function representing the curve; a b = limits of integration"
FORMULA,Population Growth,"P(t) = P_0 e^{rt}","P(t) = population at time t; P_0 = initial population; r = growth rate; t = time"
FORMULA,Newton's Law of Cooling,"T(t) = T_{env} + (T_0 - T_{env}) e^{-kt}","T(t) = temperature at time t; T_{env} = ambient temperature; T_0 = initial temperature; k = cooling constant; t = time"
