Type,Question,Choice1,Choice2,Choice3,Choice4,Answer/index,OptionalDefs
MCQ,"If the ground water  table in a soil formation rises as a result of floodin, the bearing capacity of the soil",Decreases,Depend on the footing load,Increases,Unaffected,0
MCQ,"In accordance with the Unified Solid Classification System, a soil grain having a size greater than No. 200 sieve opening (0.074 mm) but less than that of No. 4 sieve (4.75 mm opening) is called",gravel,pebble,cobble,sand,3
MCQ,A granular soil deposit is considered medium dense if the blow count of a standard penetration test is between,Over 50,4 to 10,10 to 30,30 to 50,2
MCQ,"According to USCS, particles with size greater than 75 mm are called:",Rock,Gravel,Boulder,Cobble,3
MCQ,"A type of flow where at any instant, the amount of fluid particles passing through a pipe section is constant.",Laminar,Continuous,Uniform,Steady,3
MCQ,"If the ground water table in a soil formation rises as a resulting of flooding, the bearing capacity of the soil",increases,unaffected,decreases,depends of the footing load,2
MCQ,"One of the following foundation conditions does not affect the bearing capacity of the supporting soil.",Unit weight of the soil,Depth of founding of footings,Load imposed onto the soil,Position of ground water table,2
MCQ,"A pressure surge or wave caused when a fluid in motion is forced to stop or change direction suddenly (momentum change) is referred to in hydraulics as:",water hammer,potential head,hydraulic jump,hydrodynamics,0
MCQ,"A line joining the points of highest elevation of water in a series of vertical open pipes rising from a pipeline in which water flows under pressure is referred to as:",hydraulic head,hydraulic loss,hydraulic gradient,hydraulic jump,2
MCQ,Section 302.2.2 of the national Structural Code of the Philippines provides that the slope of cut surfaces shall be no steeper than ___ is safe for intended use.,1:3,1:1.5,1:2,1:1,2
MCQ,Cohesive soil deposit is considered soft if the unconfined compression strength (kPa) is between:,0 - 24,48 - 96,24 - 48,96 - 192,2
MCQ,"It is an abrupt rise in water surface which results from retarding water flowing at lower stage.",Velocity Head,Celerity,Head loss,Hydraulic Jump,3
MCQ,"A branch of hydraulics which deals with the study of forces (including velocity and acceleration) exerted by or upon liquids in motion.",Hydrodynamics,Statics,Hydraulic Gradient,Hydrostatic,0
MCQ,It is the most used property in soil properties.,Void ratio,Specific gravity,Porosity,Unit Weight,0
MCQ,A device used to determine the undrained shear strength of the soil which consists of four equal-sized thin steel plates welded to a steel torque rod. The vane is pushed into the soil and a torque T is applied at the top of the torque rod to rotate the vane at a uniform speed to cause failure.,Triaxial Vane,Direct Vane,Shear Vane,Mohr Vane,2
MCQ,"In civil engineering, what is soil?","Soil is the natural material that covers the Earth's surface and is composed of various minerals, organic matter, water, air, and living organisms. It is a complex mixture of solid particles, liquids, and gases that interact with each other in various ways. Soil is important in civil engineering because it provides support for structures like buildings, bridges, and roads.",The unconsolidated mineral or organic material on the immediate surface of the Earth that serves as a natural medium for the growth of land plants.,"Soil is made from the breaking down of rocks and organic matter by physical, chemical and biological processes.",None of these,0
MCQ,"If the deviator stress is increased, the shear stress will increase in the _________.",Horizontal plane,Vertical plane,Both,None of the above,0
MCQ,It is the attraction between water molecules.,adhesion,cohesion,capillary,moleculotion,1
MCQ,When will the ship be stable?,Metacenter is above the center of gravity,The center of gravity is above the metacenter,When there is no center of gravity,When there is no metacenter,0
MCQ,Pressure rise in water hammer is affected by:,length of pipe,time of closure,velocity,all of the above,3
MCQ,A fireman aims his hose at an angle of 30 degrees. What would be the shape of the projectile?,parabola,hyperbola,circle,ellipse,0
MCQ,The ratio between the weight of water and the weight of solid particles.,moisture content,void ratio,porosity,saturation,0
MCQ,The liquid flow is based on the concept of conservation of ___________.,momentum,mass,force,none of these,1
MCQ,The shear strength is _________.,Directly proportional to cohesion,Inversely proportional to the angle of friction,Decreases when normal stress increases,Increases when normal stress increases,3
MCQ,The property of soil which water percolates throughout its layer.,ductility,permeability,brittleness,resilience,1
MCQ,"In Terzaghi's principle, the term Nc, Nq, and N? are based on ___________.",angle of sliding,angle of friction,bearing,tension,1
MCQ,Which of the following is not performed in the laboratory?,Vane shear test,Direct Shear test,Triaxial Shear Test,Standard Proctor Test,0
MCQ,Which is not a characteristic of a soil mass?,gas,porosity,void ratio,none of these,3
MCQ,"In an open tube, what is the shape of a mercury?",Curved up,Horizontal,Curved down,Vertical,0
MCQ,The water content of soil could _______.,be greater than 100%,be less than 0%,never be greater than 100%,have values only from 0% to 100%,0
MCQ,A granular soil deposit is considered loose if the blow count of a standard penetration test is between:,10-30,30-50,4-10,0-4,2
MCQ,The admixture of coarse particles like sand and silt to clay causes:,Increase in cohesion and strength,Increase in moisture retention capacity,Decrease in both liquid limit and plasticity index,Decrease in shear strength,2
MCQ,The quantity of seepage of water through soils is proportional to:,Soil texture and particle size,Total head loss through the soil only,Coefficient of permeability only,Both coefficient of permeability and total head loss through the soil,3
MCQ,The shear strength of a cohesionless is:,inversely proportional to the normal stress.,proportional to the tangent of the angle of shearing resistance.,constant regardless of the applied load.,directly proportional to the cohesive strength.,1
MCQ,What is the term used to describe the ratio of the weight of water to the weight of solids?,Void Ratio,Degree of Saturation,Water Content,Porosity,2
