Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
MCQ,"A method of protecting workers from cave-ins form by excavating the sides of an excavation to form one or a series of horizontal level or steps, usually with vertical or near vertical structures between levels.",Benching,Shoring,Shielding,System,0
MCQ,Which of the following leading causes collectively responsible for more than 50% fatalities in the workplace that contributes the highest percentage of deaths?,Slips,Trips,Falls,Electrocution,2
MCQ,"A structure such as a metal hydraulic, mechanical, or timber system that supports the sides of an excavation and which is designed to prevent cave-ins.",Benching,Shoring,Shielding,System,1
MCQ,"Involves using a trench box or similar structure that is able to withstand the forces imposed by a cave-in. It does not necessarily support the walls, but it protects the workers sitting inside the ""shield"" if a collapse occurs.",Benching,Shoring,Shielding,System,2
MCQ,"In the context of OSHA and safety engineering, this is usually part of the phrase ""Protective System."" This is a general category that includes sloping, benching, shoring, or shielding.",Benching,Shoring,Shielding,System,3
MCQ,The fire will be extinguished if any of these elements are removed. This principle is fundamental in fire prevention and suppression strategies. Which of the follows shows the essential elements of FIRE required to ignite and sustain itself?,"Convection, Heat, Chemical Chain Reaction, Fuel","Convection, Conduction, Radiation, Heat","Heat, Air, Spark, Gas","Heat, Fuel, Oxygen and Chemical Chain Reaction",3
MCQ,Window cleaners of a high-rise commercial building require a suspended working platform that can be raised or lowered along the exterior fa‡ade. Which of the following temporary structures is most appropriate for this purpose?,Birdcage Scaffold,Slung Scaffold,Cantilever Scaffold,Trestle Scaffold,1
MCQ,"A rubber or rubber-like material used to fill and seal joints or openings, either by itself or together with other materials.",Grout,Joint Sealant,Adhesive,Mortar,1
MCQ,"A method of protecting employees from cave-ins form material that could fall or roll front an excavation face or into an excavation or collapse of adjacent structures. This includes support systems, sloping and benching systems, shield systems and other systems that provide the necessary protection.",Fall Arrest System,Level Arrest System,Protective System,Personnel Protective System,2
MCQ,"According to the Fire Code of the Philippines, the Bureau of Fire Protection (BFP) requires a building owner to submit certain documents or information for proper fire safety evaluation. Which of the following is primarily required by the BFP before issuing a FIRE safety inspection certificate?",Combustible Materials,Chemicals or Combustible Metals,Building Plans,Floor Area,2
MCQ,"This refers to the type of use of a building for interior space such as an office, a restaurant, a private residence, or a school. Use of such are grouped based on similar life-safety characteristics, FIRE hazards and combustible contents.",Accommodation,Building Code,Occupancy,Building Elements,2
MCQ,It is the fifth level of control and is the least effective method of controlling a hazard. It should only be used as the last line of defense and when other methods of control are not possible or effective. It includes devices and GARMENTS that protect the body from exposure to a hazard.,Personal Protective Equipment,Engineering Controls,Administrative Controls,Elimination,0
MCQ,It is an informal group discussion that focuses on a particular safety issue. These can be used daily to promote department safety culture as well as to facilitate health and safety discussions on job sites is known as:,Office Meeting,Toolbox Meeting,Onsite Meeting,Meeting de Avance,1
MCQ,"This pattern of collapse occurs when one outer wall fails while the opposite wall remains intact. The side of the floor or roof assembly that was supported by the failed wall drops to the floor, forming a triangular void underneath.",Lean-to Collapse,A-Frame Collapse,V-Shaped Collapse,Pancake Collapse,0
MCQ,All demolition operation of buildings no person except the workers who are directly engaged in the demolition shall enter a demolition area to within a distance equal to _____ times the height of the structure being demolished.,1.2,1.3,1.5,2,2
MCQ,Which of the following statements is valid for a bid bond?,It pays for costs incurred by the bid deadline is mixed,It represents the costs that the owners incurs if the bidder fails to enter into a contract.,It represents the costs incurred by the subcontractors if a project is underbid.,It represents the costs incurred by the subcontractors if a project is underbid.,1
MCQ,________ (of a substance) tending to absorb water from the air.,Hydrophobic,Hygroscopic,Hydrolytic,Hypertonic,1
MCQ,"It is the strategic organization and management of resources, materials and information to ensure efficient movement and delivery of goods and services. It also refers to the movement of goods from Point A to Point B, which entails two functions: Transportation and Warehousing.",Procurement,Supply Chain Management,Logistics,Inventory Control,2
MCQ,It is defined as the maximum safe speed can be maintained over a specified section of a highway when conditions are so favorable that the design features of highway govern.,Operating Speed,Running Speed,Design Speed,Posted Speed,2
MCQ,A construction site safety inspection shows a vertical support system as shown placed directly under structural members to temporarily carry loads during repairs or foundation works. This temporary support system is identified as:,Dead Shore,Raking Shore,Lateral Bracing,Cantilever Prop,0
MCQ,"a high-flow, dense material typically made of water, cement, and sand. It is used to fill voids, reinforce existing structures, or fill the gaps between tiles.",Grout,Joint Sealant,Adhesive,Mortar,0
MCQ,"a substance used to bond two surfaces together. It is used to hold materials in place (e.g., glue).",Grout,Joint Sealant,Adhesive,Mortar,2
MCQ,"a workable paste made of a binder (cement or lime), sand, and water. It is used to bind bricks, blocks, or stones together in masonry construction.",Grout,Joint Sealant,Adhesive,Mortar,3
MCQ,"refers specifically to equipment (like harnesses, lanyards, and anchors) used to stop a person who has already fallen from a height.",Fall Arrest System,Level Arrest System,Protective System,Personnel Protective System,0
MCQ,Excavated materials shall be kept from the edge of excavation to provide a clear berm of a distance not less than ____ of the depth materials.,One-half,One-third,One-fourth,One-fifth,1
MCQ,"An excavation trench is 5ft deep, 6feet wide and 95ft.long According to OSHA standards, how many ladders are required to provide egress from the trench?",1,2,3,None,1
MCQ,A measure of materials ability to resist indentation or penetration.,Hardness,Ductility,Toughness,Resilience,0
MCQ,An increase in soil density of a cohesive soil resulting from the expulsion of water from the soils void spaces.,Segregation,Consolidation,Compaction,Soil Stabilization,1
MCQ,"Who is given authority to review reports of inspection, accident investigation and implementation of the program?",Health and Safety Committee,DOLE,DPWH,BFP,0
MCQ,"The process of injecting any agent into soil or rock to increase its strength or stability, protect foundations or reduce ground water.",Grouting,Pumping,Bleeding,Screeding,0
MCQ,"Any structure built into the sea but not parallel to the coast line and includes any stage stair, landing place, landing stage, jetty, floating barge or pontoon, and any bridge or other works connected therewith.",lighthouse,port,pier,wharf,2
MCQ,What is the meaning of MLLW?,Lower Mean Low Water,Mean Lower Low Water,Mean Low Level Water,Mean Lower Level Water,1
MCQ,Waves under the influence of the winds that generated them are called.,Wakes,Sea,Swells,Seiching,2
MCQ,"In many parts of the world, the high waters reach their greatest height and the low waters at the least height, soon after the time of full and new moon, this tides are called:",Spring tides,Neap tides,Flood tides,Ebb tides,0
MCQ,"Device mounted on a fixed support (permanent signs) or portable support (temporary signs) whereby a specific message is conveyed by means of words or symbols placed or erected for the purpose of regulating, warning or guiding traffic.",Roadwork signs,Overhead signs,Traffic signs,Special instruction signs,2
MCQ,A maximum wave height and wave period of the maximum wave height in wave train.,Deep water wave,Equivalent dept water wave height,Significant wave,Highest wave,3
