Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Stopping Sight Distance,"SSD =  V t_r + \frac{V^2}{2 \cdot g \cdot (f + G)}","SSD = Stopping sight distance; V = Speed of the vehicle; g = Acceleration due to gravity; f = Coefficient of friction; G = Grade of the road"
FORMULA,Length of Spiral Curve,"L_c = \frac{V^3}{C \dot R} = \frac{0.036 \cdot V^3}{R}","L_c = Length of spiral curve; V = Speed of the vehicle(kph); C = Coefficient of lateral friction; R = Radius of the curve"
FORMULA,Flow of traffic,"Q = k \cdot V","Q = Flow of traffic (vehicles per hour); k = Density of traffic (vehicles per kilometer); V = Speed of the vehicle (kilometers per hour)"
FORMULA, Maximum Free Flow Speed,"V_{max} = \frac{V_{free flow speed}}{2} \quad @ k = 0","V_max = Maximum free flow speed; V_{free flow speed} = Free flow speed; k = Density of traffic (vehicles per kilometer)"
FORMULA,Traffic Density,"k = \frac{N}{L}","k = Traffic density (vehicles per kilometer); N = Number of vehicles; L = Length of the road segment (kilometers)"
FORMULA,Maximum Traffic Density,"k_{max} = \frac{k_{jammed}}{2} \quad @ V = 0","k_{max} = Maximum traffic density; k_{jammed} = Jammed traffic density; V = Speed of the vehicle (kilometers per hour)"
FORMULA,Length of Curve(Length > Sight Distance),"L_c = \frac{G \cdot S^2}{200 \cdot (\sqrt{h_1} + \sqrt{h_2})^2}","L_c = Length of curve; G = Grade of the road; S = Sight distance; h_1 = Height of the driver's eye; h_2 = Height of the object"
FORMULA,Length of Curve(Length < Sight Distance),"L_c = 2 \cdot S - \frac{200 \cdot (\sqrt{h_1} + \sqrt{h_2})^2}{G}","L_c = Length of curve; S = Sight distance; h_1 = Height of the driver's eye; h_2 = Height of the object; G = Grade of the road"
FORMULA,Peak Hour Factor,"PHF = \frac{V_{peak hour}}{4 \cdot V_{15 min peak}}","PHF = Peak Hour Factor; V_{peak hour} = Volume during the peak hour; V_{15 min peak} = Volume during the 15-minute peak period"
FORMULA,Design Volume(Hourly),"V_{design} = \frac{V}{PHF}","V_{design} = Design volume (vehicles per hour); V = Volume during the peak hour; PHF = Peak Hour Factor"
