Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Simple interest,"I = P \cdot r \cdot t","I = interest; P = principal amount; r = annual interest rate; t = time in years"
FORMULA,Compound interest,"F = P \left(1 + \frac{r}{n}\right)^{nt}","F = amount after time t; P = principal amount; r = annual interest rate; n = number of times interest is compounded per year; t = time in years"
FORMULA,Continuous compounding,"F = P e^{rt}","F = amount after time t; P = principal amount; r = annual interest rate; t = time in years"
FORMULA,effective annual rate,"i_e = \left(1 + \frac{r}{n}\right)^n - 1","i_e = effective annual rate; r = nominal annual interest rate; n = number of compounding periods per year"
FORMULA,Present value(Ordinary annuity),"P = \frac{A((1+i)^n - 1)}{i(1+i)^n}","P = present value; A = annuity payment; i = interest rate per period; n = number of periods"
FORMULA,Present value(Annuity due),"P = \frac{A((1+i)^n - 1)}{i(1+i)^n} + A","P = present value; A = annuity payment; i = interest rate per period; n = number of periods"
FORMULA,Perpetuity,"P = \frac{A}{i}","P = present value; A = payment per period; i = interest rate per period"
FORMULA,Present value(Bonds),"P = F \cdot r \cdot \frac{A((1+i)^n - 1)}{i(1+i)^n} + R \cdot \frac{1}{(1+i)^n}","P = present value; F = face value of the bond; r = coupon rate; A = annuity payment; i = interest rate per period; n = number of periods; R = redemption value of the bond"
FORMULA,Straight line method,"Mode 3-2;\quad|x|y|;\quad|0|FC|;\quad |n|SV|;\quad BV = t_n \bar{y}","Mode 3-2 = straight line method; x = time period; y = depreciation expense; FC = first cost; n = useful life of the asset; SV = salvage value of the asset"
FORMULA,Declining balance method,"Mode 3-6;\quad|x|y|;\quad|0|FC|;\quad |n|SV|;\quad BV = t_n \bar{y}","Mode 3-6 = declining balance method; x = time period; y = depreciation expense; FC = first cost; n = useful life of the asset; SV = salvage value of the asset"
FORMULA,Double declining balance method,"Mode 3-6;\quad|x|y|;\quad|0|FC|;\quad |1|FC(1-2/n)|;\quad BV = t_n \bar{y}","Mode 3-6 = double declining balance method; x = time period; y = depreciation expense; FC = first cost; n = useful life of the asset; SV = salvage value of the asset"
FORMULA,Sum of years' digits method,"Mode 3-3;\quad|x|y|;\quad|0|FC|;\quad |n|SV|;\quad |n+1|SV|;\quad BV = t_n \bar{y}","Mode 3-3 = sum of years' digits method; x = time period; y = depreciation expense; FC = first cost; n = useful life of the asset; SV = salvage value of the asset"
FORMULA,Capitalize costs,"K = FC + \frac{OM}{i} + \frac{RC - SV}{(1 + i)^n - 1}","K = capitalized cost; FC = first cost; OM = annual operating and maintenance cost; i = interest rate; RC = replacement cost; SV = salvage value; n = useful life of the asset"
