Type,Question,Choice1,Choice2,Choice3,Choice4,Answer,OptionalDefs
FORMULA,Error due to temperature,"\Delta L = \alpha \cdot L_0 \cdot \Delta T","\alpha = Coefficient of linear expansion; L_0 = Original length; \Delta T = Change in temperature"
FORMULA,Error due to change of pull,"e_p = \frac{P}{A \cdot E}","P = Change in pull; A = Area; E = Young's modulus"
FORMULA,Error due to sag,"e_s = \frac{w^2 \cdot L^3}{24 \cdot P^2}","w = Weight per unit length; L = Length of the wire; P = Pull in the wire"
FORMULA,Error due to temperature and pull combined,"e_{total} = e_p + e_s + \Delta L","e_p = Error due to change of pull; e_s = Error due to sag; \Delta L = Error due to temperature"
FORMULA,Probable error of single observation,"PE_{single} = 0.6745 \cdot \sqrt{\frac{\sum (v_i)^2}{n-1}}","v_i = Residuals (differences between observed and mean values); n = Number of observations"
FORMULA,Probable error of mean,"PE_{mean} = \frac{PE_{single}}{\sqrt{n}}","PE_{single} = Probable error of single observation; n = Number of observations"
FORMULA,Relative error,"Relative Error = \frac{e_{total}}{mpv}","e_{total} = Total error; mpv = Most probable value"
FORMULA,Standard deviation,"s = x \sigma n - 1","Mode -> STAT -> SD"
FORMULA,Slope correction,"C_{slope} = \frac{h^2}{2 \cdot L}","h = Height difference between the two ends of the wire; L = Length of the wire"
FORMULA,Tacheometry (Horizontal distance),"D = k \cdot s + C","D = Horizontal distance; k = Stadia constant; s = Stadia interval; C = Instrument constant"
FORMULA,Tacheometry (Inclined distance),"D = k \cdot s \cdot \cos(\theta) + C","D = Inclined distance; k = Stadia constant; s = Stadia interval; C = Instrument constant; \theta = Vertical angle"
FORMULA,Elevation Correction for curvature,"H_c = 0.0785 \cdot k^2","H_c = Correction for curvature; k = distance between stadia and observed point"
FORMULA,Elevation Correction for refraction,"H_r = 0.0112 \cdot k^2","H_r = Correction for refraction; k = distance between stadia and observed point"
FORMULA,Elevation Correction for curvature & refraction,"H_{cr} = 0.0675 \cdot k^2","H_{cr} = Correction for curvature and refraction; k = distance between stadia and observed point"
FORMULA,Elevation Correction for 3 intervisible points,"H_{3} = h_2 + \frac{k_2 (h_1 - h_2)}{k_1 + k_2} - 0.0675 \cdot k_1 \cdot k_2","H_3 = Elevation correction for 3 intervisible points; h_1 = Height of the first point; h_2 = Height of the second point; k_1 = Distance from the instrument to the first point; k_2 = Distance from the instrument to the second point"
FORMULA,Error Correction (Distribution of error),"c = -error \cdot DF ","DF_{without trial} = \frac{1}{n} ; DF_{with trial} = \frac{\frac{1}{n}}{\sum \frac{1}{n}}; c = Correction to be applied; error = Total error to be distributed; DF = Distribution factor; n = Number of observations"
FORMULA,Differential Leveling,"El_f = El_i + \sum BS - \sum FS","El_f = Final elevation; El_i = Initial elevation; BS = Back sight readings; FS = Fore sight readings"
FORMULA,Volume (End Area Method),"V = \frac{A_1 + A_2}{2} \cdot L","V = Volume; A_1 = Area of the first cross-section; A_2 = Area of the second cross-section; L = Distance between the two cross-sections"
FORMULA,Volume (Prismoidal Formula),"V = \frac{L}{6} \cdot (A_1 + 4A_m + A_2)","V = Volume; L = Distance between the two cross-sections; A_1 = Area of the first cross-section; A_m = Area of the middle cross-section; A_2 = Area of the second cross-section"
FORMULA,Volume (Trapezoidal Rule),"V = \frac{L}{2} \cdot (A_1 + A_2)","V = Volume; L = Distance between the two cross-sections; A_1 = Area of the first cross-section; A_2 = Area of the second cross-section"
FORMULA,Volume (Simpson's Rule),"V = \frac{L}{3} \cdot (A_1 + 4A_m + A_2)","V = Volume; L = Distance between the two cross-sections; A_1 = Area of the first cross-section; A_m = Area of the middle cross-section; A_2 = Area of the second cross-section"
FORMULA,Prismoidal Correction,"C_p = \frac{L \cdot (B_1 - B_2) \cdot (H_1 - H_2)}{12}","V_{corrected} = V_{uncorrected} - C_p; C_p = Prismoidal correction; L = Distance between the two cross-sections; B_1 = Width of the first cross-section; B_2 = Width of the second cross-section; H_1 = Height of the first cross-section; H_2 = Height of the second cross-section; V_corrected = Corrected volume; V_uncorrected = Uncorrected volume"
FORMULA,Degree of Curves (Horizontal curves - Metric), "D = \frac{1145.916}{R}","D = Degree of curve; R = Radius of the curve (in meters)"
FORMULA,Degree of Curves (Horizontal curves - Imperial), "D = \frac{5729.578}{R}","D = Degree of curve; R = Radius of the curve (in feet)"
FORMULA,Length of Long Chord,"L_c = 2 \cdot R \cdot \sin(\frac{I}{2})","L_c = Length of long chord; R = Radius of the curve; I = Central angle of the curve"
FORMULA,Length of Middle Ordinate,"M = R \cdot (1 - \cos(\frac{I}{2}))","M = Length of middle ordinate; R = Radius of the curve; I = Central angle of the curve"
FORMULA,Length of Tangent,"T = R \cdot \tan(\frac{I}{2})","T = Length of tangent; R = Radius of the curve; I = Central angle of the curve"
FORMULA,Length of Arc,"L = R \cdot I","L = Length of arc; R = Radius of the curve; I = Central angle of the curve (in radians)"
